[Algeria] (25 players)
  Alexis Saelemaekers            | #22 | CM   | Milan
  Nicolas Raskin                 | #23 | CM   | Rangers
  Nathan Ngoy                    | #25 | CB   | Lille
  Matias Fernandez-Pardo         | #26 | ST   | Lille

[Bosnia and Herzegovina] (26 players)
  Nikola Vasilj                  | # 1 | GK   | FC St. Pauli
  Nihad Mujakić                  | # 2 | CB   | Gaziantep
  Dennis Hadžikadunić            | # 3 | CB   | Sampdoria
  Tarik Muharemović              | # 4 | CB   | Sassuolo
  Sead Kolašinac                 | # 5 | CB   | Atalanta
  Benjamin Tahirović             | # 6 | CM   | Brøndby
  Amar Dedić                     | # 7 | CB   | Benfica
  Armin Gigović                  | # 8 | CM   | Young Boys
  Samed Baždar                   | # 9 | ST   | Jagiellonia Białystok
  Ermedin Demirović              | #10 | ST   | VfB Stuttgart
  Edin Džeko                     | #11 | ST   | Schalke 04
  Mladen Jurkas                  | #12 | GK   | Borac Banja Luka
  Ivan Bašić                     | #13 | CM   | Astana
  Ivan Šunjić                    | #14 | CM   | Pafos
  Amar Memić                     | #15 | CM   | Viktoria Plzeň
  Amir Hadžiahmetović            | #16 | CM   | Hull City
  Dženis Burnić                  | #17 | CM   | Karlsruher SC
  Nikola Katić                   | #18 | CB   | Schalke 04
  Kerim Alajbegović              | #19 | ST   | Red Bull Salzburg
  Esmir Bajraktarević            | #20 | ST   | PSV Eindhoven
  Stjepan Radeljić               | #21 | CB   | Rijeka
  Martin Zlomislić               | #22 | GK   | Rijeka
  Haris Tabaković                | #23 | ST   | Borussia Mönchengladbach
  Nidal Čelik                    | #24 | CB   | Lens
  Jovo Lukić                     | #25 | ST   | Universitatea Cluj
  Ermin Mahmić                   | #26 | CM   | Slovan Liberec

[Brazil] (24 players)
  Alisson                        | # 1 | GK   | Liverpool
  Wesley                         | # 2 | CB   | Roma
  Marquinhos                     | # 4 | CB   | Paris Saint-Germain
  Casemiro                       | # 5 | CM   | Manchester United
  Alex Sandro                    | # 6 | CB   | Flamengo
  Vinícius Júnior                | # 7 | ST   | Real Madrid
  Bruno Guimarães                | # 8 | CM   | Newcastle United
  Neymar                         | #10 | ST   | Santos
  Raphinha                       | #11 | ST   | Barcelona
  Weverton                       | #12 | GK   | Grêmio
  Danilo Luiz                    | #13 | CB   | Flamengo
  Bremer                         | #14 | CB   | Juventus
  Léo Pereira                    | #15 | CB   | Flamengo
  Douglas Santos                 | #16 | CB   | Zenit Saint Petersburg
  Fabinho                        | #17 | CM   | Al-Ittihad
  Danilo Santos                  | #18 | CM   | Botafogo
  Endrick                        | #19 | ST   | Lyon
  Lucas Paquetá                  | #20 | CM   | Flamengo
  Luiz Henrique                  | #21 | ST   | Zenit Saint Petersburg
  Gabriel Martinelli             | #22 | ST   | Arsenal
  Ederson                        | #23 | GK   | Fenerbahçe
  Roger Ibañez                   | #24 | CB   | Al-Ahli
  Igor Thiago                    | #25 | ST   | Brentford
  Rayan                          | #26 | ST   | Bournemouth

[Canada] (25 players)
  Dayne St. Clair                | # 1 | GK   | Inter Miami CF
  Alistair Johnston              | # 2 | CB   | Celtic
